instance	class	precision	recall	predicted class size	real class size
species	Nonlabens ulvanivorans	0.56	0.98	5532474	3177054
species	Parabacteroides chartae	0.71	1.00	5508104	3908047
species	Nocardioides hankookensis	1.00	0.50	5460800	10982234
species	Algoriphagus ratkowskyi	0.91	0.99	5416583	4983191
species	Vibrio porteresiae	1.00	0.97	5275868	5418821
species	[Clostridium] xylanovorans	1.00	0.97	5235111	5414567
species	Dyadobacter crusticola	1.00	0.86	5198020	6064551
species	Cellulophaga tyrosinoxydans	0.68	0.99	5190010	3547012
species	Prauserella flava	0.90	0.83	5188615	5643643
species	Bosea thiooxidans	1.00	0.96	5155168	5368281
species	Hwanghaeicola aestuarii	0.88	0.99	5081398	4540469
species	Maribacter polysiphoniae	1.00	0.98	5027299	5119949
species	uncultured Phenylobacterium sp.	0.98	0.37	4996527	13144738
species	Marinomonas polaris	0.99	0.98	4996463	5032852
species	Williamsia maris	1.00	1.00	4929071	4931448
species	Prauserella alba	1.00	0.87	4909672	5615200
species	Enterovibrio nigricans	0.99	0.95	4814873	5027516
species	Desulforhopalus singaporensis	0.99	0.95	4801669	5003741
species	Parapedobacter luteus	1.00	0.99	4772145	4828298
species	Salegentibacter salegens	0.60	0.26	4758972	11050864
species	Ponticoccus litoralis	1.00	1.00	4741559	4748324
species	Rhizobium sp. BA-57-09	0.88	0.42	4727098	9743279
species	Hymenobacter psychrotolerans	1.00	0.99	4725652	4765019
species	Marivirga sericea	1.00	0.99	4683266	4738056
species	Salmonella subterranea	1.00	0.98	4638220	4715983
species	Brenneria nigrifluens	1.00	0.96	4613756	4814706
species	Fontibacter flavus	0.97	0.98	4541960	4481558
species	Desulfofustis glycolicus	1.00	0.90	4502393	4974095
species	Nitrobacter sp. NS5-5	1.00	0.93	4490485	4804273
species	Gemmobacter changlensis	1.00	0.91	4477175	4919248
species	Vibrio ruber	1.00	0.98	4466620	4530266
species	Geosporobacter subterraneus	0.83	0.95	4445028	3855557
species	Caenimonas koreensis	1.00	0.96	4432780	4594950
species	Hymenobacter daecheongensis	1.00	0.99	4361558	4385506
species	Rubritalea squalenifaciens	1.00	0.99	4275546	4320165
species	Chryseobacterium sp. T85L.09.P.BNT.GC.H.Gill.D.M	1.00	0.99	4275397	4323695
species	Pedobacter aquatilis	1.00	0.95	4266574	4466044
species	Desulfotomaculum aeronauticum	0.94	0.98	4180704	4015323
species	Leeuwenhoekiella marinoflava	1.00	0.88	4156838	4729287
species	Elizabethkingia miricola	1.00	0.97	4150919	4293831
species	Aureimonas altamirensis	1.00	0.98	4106310	4190420
species	Propionigenium maris	1.00	1.00	4103073	4107155
species	Sporobacter termitidis	1.00	0.98	4100183	4196055
species	Thiothrix eikelboomii	1.00	0.98	4081788	4145616
species	Alkalitalea saponilacus	1.00	0.89	4045342	4548631
species	Devosia limi	1.00	0.94	4043387	4296833
species	Agromyces fucosus	1.00	1.00	4041587	4042744
species	Hespellia stercorisuis	0.98	0.89	3987101	4394786
species	Clostridium acidisoli	1.00	1.00	3986472	3999657
species	Cytophaga xylanolytica	1.00	0.91	3984885	4361637
species	Malonomonas rubra	0.99	0.99	3941133	3960448
species	Halomonas ilicicola	1.00	0.99	3917398	3952422
species	Nocardioides sp. RHLT1-14	1.00	0.38	3916618	10438776
species	Planktotalea frisia	0.99	0.93	3912687	4153516
species	Dethiosulfatibacter aminovorans	1.00	0.96	3881116	4030129
species	Desulfovibrio paquesii	1.00	0.92	3856120	4199435
species	Cellulophaga fucicola	1.00	0.98	3843377	3915480
species	Celeribacter halophilus	1.00	0.99	3829588	3865680
species	Devosia sp. R41	1.00	0.99	3796249	3821022
species	Desulfobotulus sapovorans	1.00	0.95	3787011	3980756
species	Lactobacillus nagelii	0.64	0.98	3785664	2490428
species	Sedimentibacter saalensis	1.00	0.99	3777387	3826005
species	Sphingobacterium multivorum	0.97	0.62	3755841	5863185
species	Microbacterium sp. C23(2011)	1.00	0.48	3738856	7755981
species	Acidocella aminolytica	0.99	0.93	3725262	3960665
species	Oceanimonas baumannii	1.00	1.00	3718474	3735544
species	Pedobacter cryoconitis	1.00	0.61	3685827	6073581
species	Rhizobium sp. CHNTR26	1.00	0.23	3627712	15787032
species	Sphingopyxis litoris	1.00	1.00	3607646	3607646
species	Thalassobacter stenotrophicus	0.94	0.94	3592080	3596730
species	Pelagicola litoralis	1.00	0.97	3545195	3642180
species	Geobacter thiogenes	1.00	0.98	3492206	3568133
species	Oceanospirillum multiglobuliferum	1.00	0.99	3468019	3508055
