"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1139_CO"	1	0.990639565609	5694749	5748558	"admiring_curie_2"
"strain"	"evo_1035921.007"	0.268104794458	0.615925239816	7153050	3113636	"admiring_curie_2"
"strain"	"1139_CF"	0.993463925348	0.994547740962	6075665	6069044	"admiring_curie_2"
"strain"	"1036803"	0.502841377746	0.985769797726	10123258	5163876	"admiring_curie_2"
"strain"	"1139_T"	0.313557745351	0.209749651048	3692583	5520095	"admiring_curie_2"
"strain"	"Sample22_625"	0	0	0	8160	"admiring_curie_2"
"strain"	"1036800"	0.956986925372	0.963667534034	4153923	4125126	"admiring_curie_2"
"strain"	"1139_Y"	0.250583731805	0.507515837723	14480537	7149702	"admiring_curie_2"
"strain"	"Sample22_2"	0	0	0	185271	"admiring_curie_2"
"strain"	"1036731"	0.444492818916	0.961409410226	5347173	2472183	"admiring_curie_2"
"strain"	"1286_G"	0.682621262284	0.940142195759	4566960	3315992	"admiring_curie_2"
"strain"	"1053031"	0.503292743274	0.993499077387	7501344	3800076	"admiring_curie_2"
"strain"	"1053037"	0.83878158796	0.972356564138	3162083	2727700	"admiring_curie_2"
"strain"	"1286_Y"	0.700399745067	0.716725830462	3932006	3842440	"admiring_curie_2"
"strain"	"1052941"	1	0.894400830686	4899424	5477884	"admiring_curie_2"
"strain"	"1285_AD"	1	0.986441288198	5644057	5721635	"admiring_curie_2"
"strain"	"1030737"	1	0.983557558381	3599980	3660162	"admiring_curie_2"
"strain"	"1287_N"	0.491128596568	0.853915538104	7800006	4486165	"admiring_curie_2"
"strain"	"Sample19_25"	0	0	0	51342	"admiring_curie_2"
"strain"	"1139_B"	0.508871403432	0.857720260281	7800006	4627616	"admiring_curie_2"
"strain"	"1285_BV"	0.189832920013	0.306910282164	4752574	2939605	"admiring_curie_2"
"strain"	"Sample22_110"	0	0	0	28244	"admiring_curie_2"
"strain"	"1287_W"	0.399555061794	0.995710838196	10485501	4207582	"admiring_curie_2"
"strain"	"Sample9_16"	0	0	0	20716	"admiring_curie_2"
"strain"	"1036695"	1	0.981868028462	3328566	3390034	"admiring_curie_2"
"strain"	"1220_A"	1	0.997391131658	3857105	3867194	"admiring_curie_2"
"strain"	"1049032"	0.999233018433	0.99329970594	4473380	4500101	"admiring_curie_2"
"strain"	"1048939"	1	0.978186764439	2893093	2957608	"admiring_curie_2"
"strain"	"1049035"	1	0.980172738133	3092395	3154949	"admiring_curie_2"
"strain"	"evo_1030728.001"	0.670030108967	0.671123524851	2419545	2415603	"admiring_curie_2"
"strain"	"Sample22_762"	0	0	0	6794	"admiring_curie_2"
"strain"	"Sample18_6"	0	0	0	55781	"admiring_curie_2"
"strain"	"evo_1030728.009"	0.571882301248	0.437780216031	1893512	2473538	"admiring_curie_2"
"strain"	"1052992"	0.427045830868	0.628747347557	10187108	6919094	"admiring_curie_2"
"strain"	"Sample19_31"	0	0	0	44361	"admiring_curie_2"
"strain"	"Sample19_34"	0	0	0	43704	"admiring_curie_2"
"strain"	"Sample19_38"	0	0	0	36914	"admiring_curie_2"
