instance	class	precision	recall	predicted class size	real class size
genus	Oceanimonas	0.99	0.99	3708319	3735544
genus	Aureimonas	0.94	0.41	3707133	8600960
genus	Hespellia	1.00	0.84	3672014	4394786
genus	Rhodanobacter	1.00	0.49	3647471	7387216
genus	Pelagicola	0.99	0.99	3613663	3642180
genus	Sedimentibacter	1.00	0.94	3589422	3826005
genus	Geobacter	1.00	0.98	3518502	3568133
genus	Oceanospirillum	1.00	1.00	3509918	3508055
genus	Acidocella	0.99	0.85	3407822	3960665
genus	Prevotella	1.00	0.96	3354903	3504004
genus	Curtobacterium	0.99	0.91	3353781	3637299
genus	Halobacterium	0.98	0.14	3334998	23185149
genus	Soonwooa	0.99	0.99	3321047	3329138
genus	Albidovulum	1.00	0.27	3246041	12119276
genus	Oceanicella	1.00	0.98	3206755	3280980
genus	Thalassobacter	1.00	0.88	3185882	3596730
genus	Peptoclostridium	1.00	0.99	3169373	3196223
genus	Fibrobacter	1.00	0.96	3159842	3277440
genus	Papillibacter	0.91	1.00	3159094	2888356
genus	Mycoplasma	0.97	0.99	3157084	3100471
genus	Comamonas	0.99	0.90	3048211	3356089
genus	Arenimonas	1.00	0.99	2968553	2978743
genus	Megasphaera	0.94	0.95	2951541	2911302
genus	Gemmiger	0.99	0.86	2827915	3238784
genus	Pilibacter	0.99	0.99	2764355	2780066
genus	Asaccharobacter	0.99	0.95	2742395	2880893
genus	Porphyrobacter	1.00	0.92	2731587	2978214
genus	Pseudogulbenkiania	0.94	0.59	2730892	4362870
genus	Selenihalanaerobacter	1.00	0.95	2688369	2837595
genus	Eubacterium	1.00	0.95	2681918	2834267
genus	Anaerovibrio	1.00	0.45	2608555	5824876
genus	Caldanaerobius	1.00	0.93	2570511	2753972
genus	Succinivibrio	0.99	0.95	2544398	2664356
genus	Alkalibacter	0.92	0.99	2485942	2325618
genus	Desulfomicrobium	1.00	0.99	2465056	2483130
genus	Salinicoccus	1.00	0.97	2446506	2513181
genus	Parasporobacterium	1.00	0.98	2403697	2440900
genus	Thermoanaerobacter	1.00	0.99	2395812	2406712
genus	Marinitoga	1.00	1.00	2314033	2311198
genus	Kingella	1.00	0.98	2277107	2324531
genus	Thermomonas	0.97	0.87	2181121	2439301
genus	Fervidobacterium	0.98	0.98	2160877	2144384
genus	Cetobacterium	1.00	0.83	2126318	2553826
genus	Thermosyntropha	1.00	0.97	2102003	2166976
genus	Thermodesulfovibrio	1.00	0.98	2073293	2114333
genus	Thermosipho	0.80	1.00	2035207	1635388
genus	Herbaspirillum	0.94	0.31	2013008	6135680
genus	Anaerosphaera	1.00	0.97	1960065	2020910
genus	Campylobacter	0.99	0.98	1807225	1820943
genus	Modestobacter	1.00	0.18	1637842	9129044
genus	Sanguibacter	1.00	0.37	1617199	4392776
genus	Azotobacter	0.95	0.05	1326598	24889875
genus	Caloramator	1.00	0.45	1191435	2647357
genus	Nocardia	0.28	0.00	300104	37438923
genus	Marmoricola	1.00	0.03	104953	3819951
genus	unassigned	nan	nan	1500553652	129993492
species	Desulfovibrio desulfuricans	0.95	0.63	17512844	26230321
species	uncultured Paenibacillus sp.	0.99	0.99	16476168	16403391
species	Mameliella alba	1.00	0.72	15237520	21065517
species	Dyadobacter ginsengisoli	0.98	1.00	9556009	9417641
species	Rhizobium sp. BA-57-09	0.98	0.96	9476354	9743279
species	Actinosynnema pretiosum	1.00	1.00	9329254	9348728
species	Actinomadura glauciflava	1.00	0.98	9220480	9355715
species	Goodfellowiella coeruleoviolacea	1.00	0.99	8719529	8767230
species	Lentzea albidocapillata	1.00	1.00	8652210	8637167
species	Chitinophaga sancti	1.00	0.97	7957823	8235786
species	Chitinophaga ginsengisegetis	1.00	1.00	7935277	7933412
species	Paenibacillus algorifonticola	0.97	0.95	7461346	7575015
species	Burkholderia sp. IMER-A1-17	0.91	0.96	7166242	6798508
species	Chitinophaga japonensis	1.00	1.00	6989952	6993637
species	[Clostridium] jejuense	0.95	1.00	6932454	6617028
species	Desulfopila aestuarii	0.88	0.99	6837916	6064646
species	Larkinella arboricola	1.00	0.97	6801001	7015325
species	Dyadobacter psychrophilus	0.99	1.00	6756578	6733914
species	Prosthecobacter debontii	0.94	1.00	6646687	6284142
species	Pelomonas sp. JGI 001013-K11	1.00	0.18	6541286	36491486
species	Paenibacillus sp. AMB_13	1.00	0.98	6366084	6500254
species	Chitinophaga skermanii	0.99	0.99	6126999	6110985
species	Pedobacter cryoconitis	0.99	0.99	6071663	6073581
species	Streptoalloteichus tenebrarius	1.00	0.85	5995715	7094726
species	Sphingobacterium multivorum	0.95	0.97	5974986	5863185
species	Dyadobacter crusticola	0.99	0.98	5961587	6064551
species	Arcicella aurantiaca	1.00	0.99	5896940	5919827
species	Prosthecobacter fusiformis	0.99	1.00	5845808	5825138
species	Desulfosporosinus lacus	0.94	0.99	5829910	5549747
species	Mucilaginibacter oryzae	1.00	0.97	5730841	5936951
species	Bacillus sp. M5-3	0.99	0.94	5715766	5984486
species	Desulfitobacterium chlororespirans	0.96	0.97	5672580	5600379
species	Prauserella alba	1.00	1.00	5626967	5615200
species	Stackebrandtia albiflava	1.00	1.00	5565661	5546185
species	Promicromonospora thailandica	1.00	1.00	5397264	5380322
species	Azomonas agilis	0.59	0.97	5373104	3274144
species	[Clostridium] xylanovorans	1.00	0.98	5325854	5414567
species	Vibrio porteresiae	1.00	0.97	5293812	5418821
species	Marivirga sericea	0.90	1.00	5269370	4738056
species	Arenibacter troitsensis	1.00	0.99	5254548	5277401
species	Arenibacter echinorum	1.00	0.99	5127824	5188649
species	Azoarcus communis	0.89	0.94	5127309	4899927
species	Desulfococcus multivorans	0.99	0.10	5125529	51975838
species	Desulforhopalus singaporensis	0.89	0.91	5087108	5003741
species	Marinomonas polaris	0.97	0.97	5045117	5032852
species	Prauserella halophila	1.00	1.00	5042339	5047472
species	Algoriphagus ratkowskyi	0.97	0.97	4980031	4983191
species	Maribacter polysiphoniae	1.00	0.97	4978899	5119949
species	Pedobacter luteus	0.81	1.00	4978573	4027503
species	Celeribacter halophilus	0.78	1.00	4966765	3865680
species	Enterovibrio nigricans	0.97	0.95	4911897	5027516
species	Bosea thiooxidans	1.00	0.91	4886660	5368281
species	Roseomonas lacus	1.00	0.76	4854203	6388653
species	uncultured Acidovorax sp.	0.98	0.94	4826262	5010610
species	Parapedobacter luteus	0.99	0.99	4822532	4828298
species	Mesonia algae	0.98	0.52	4821268	9194581
species	Nitrobacter sp. NS5-5	0.99	0.99	4813308	4804273
species	Algoriphagus alkaliphilus	1.00	0.98	4769449	4846079
species	Ponticoccus litoralis	1.00	1.00	4761478	4748324
species	Roseomonas vinacea	1.00	0.75	4758748	6344653
species	Hymenobacter psychrotolerans	1.00	1.00	4743193	4765019
species	Salmonella subterranea	0.99	1.00	4741598	4715983
species	Promicromonospora flava	1.00	0.97	4740999	4843474
species	Roseomonas rosea	1.00	0.88	4701736	5341403
species	Nocardioides jensenii	0.98	0.23	4672768	20123852
species	Desulfofustis glycolicus	0.98	0.92	4661961	4974095
species	Salegentibacter salegens	1.00	0.42	4655935	11050864
species	Brenneria nigrifluens	1.00	0.96	4618424	4814706
species	uncultured Phenylobacterium sp.	1.00	0.35	4588223	13144738
species	Vibrio ruber	0.97	0.99	4581369	4530266
species	Williamsia serinedens	1.00	0.98	4533539	4635496
species	Sphingomonas wittichii	0.99	0.23	4489359	19137096
species	Alkalitalea saponilacus	0.96	0.95	4482016	4548631
species	Caenimonas koreensis	1.00	0.97	4471620	4594950
species	Sphingopyxis litoris	0.81	1.00	4451374	3607646
species	Elizabethkingia miricola	0.96	0.99	4429892	4293831
species	Fontibacter flavus	0.99	0.98	4424682	4481558
species	Gemmobacter changlensis	1.00	0.90	4423925	4919248
species	Hymenobacter daecheongensis	0.99	1.00	4403999	4385506
species	Rubritalea squalenifaciens	0.98	1.00	4387802	4320165
